time_sec,frames
15.829166666666667,3799
17.879166666666666,4291
18.8375,4521
19.791666666666668,4750
20.775,4986
21.716666666666665,5212
23.7,5688
24.666666666666668,5920
25.675,6162
27.729166666666668,6655
28.2625,7631
31.795833333333334,8130
32.34166666666667,8603
33.875,8853
35.84583333333333,9103
36.8875,9344
37.92916666666667,9583
38.93333333333333,9838
39.92916666666667,10072
40.99166666666667,10315
41.96666666666667,10551
42.979166666666664,10806
43.9625,11289
45.025,11524
47.0375,11985
48.016666666666666,12220
49.9375,12445
50.916666666666664,12676
51.854166666666664,12905
52.81666666666667,13136
53.770833333333336,13359
54.275,13584
54.733333333333334,13793
55.6625,14007
56.6,14107
57.47083333333333,14209
58.3625,14409
58.770833333333336,14496
58.77916666666667,14582
59.204166666666666,14766
59.583333333333336,14853
60.0375,14942
60.4,15192
60.40416666666667,15279
60.75833333333333,15444
61.1375,15610
61.525,15927
61.88333333333333,16535
61.8875,17127
62.25833333333333,17714
62.59166666666667,17834
63.3,17907
63.3,17997
63.6625,18123
64.35,18185
65.04166666666667,18258
66.3625,18392
68.89583333333333,18465
70.1375,18537
71.3625,18676
72.50416666666666,18745
73.80833333333334,18808
74.10833333333333,18937
74.30833333333334,18998
74.59166666666667,19075
74.6125,19204
74.9875,19272
75.27083333333333,19451
75.5125,19584
75.77083333333333,19725
75.77916666666667,19809
76.075,19848
76.63333333333334,19969
76.93333333333334,20101
76.9375,20226
77.2375,20309
77.53333333333333,20349
77.81666666666666,20467
78.09583333333333,20600
78.10416666666667,20730
78.36666666666666,26434
78.6,28403
78.90416666666667,32080
79.15833333333333,32575
79.16666666666667,33063
79.47916666666667,33544
79.7625,33899
80.01666666666667,34037
80.3,34147
80.30416666666666,34527
81.04583333333333,34638
81.36666666666666,35008
81.6,35480
81.92916666666666,47094
82.18333333333334,59721
82.1875,59901
82.5375,60138
82.7,60204
82.7125,60375
83.20416666666667,60432
83.25416666666666,60607
83.75416666666666,60672
83.75833333333334,61145
84.26666666666667,61382
84.275,61447
84.62083333333334,61615
84.7875,61684
84.80833333333334,61860
85.27916666666667,61923
85.32916666666667,62088
85.825,62153
85.83333333333333,62317
86.175,62378
86.35,62544
86.375,62609
86.725,62768
87.1125,62828
110.14166666666667,62992
118.34583333333333,63223
119.4375,63280
121.2625,63450
133.66666666666666,63509
134.38333333333333,63678
135.24166666666667,63841
135.70833333333334,63911
135.72916666666666,64130
135.91666666666666,64192
137.725,64355
137.7625,64416
137.95,64578
138.36666666666667,64638
139.18333333333334,64803
139.7125,65030
139.76666666666668,65092
139.97916666666666,65216
140.43333333333334,6783
141.24583333333334,7762
141.3125,13026
141.775,14105
141.82083333333333,14300
142.00833333333333,14497
142.27916666666667,14673
142.29583333333332,14852
142.47916666666666,15022
143.2875,15192
143.80416666666667,16833
143.8625,17401
144.05,17786
144.325,17902
144.33333333333334,18065
144.51666666666668,18187
145.78333333333333,18464
145.86666666666667,18608
146.04583333333332,18743
147.31666666666666,18864
147.83333333333334,19000
148.04583333333332,19143
196.225,19273
196.775,19528
204.4875,19663
224.225,19724
228.05,19851
243.37083333333334,19981
248.82083333333333,20102
248.8375,20224
249.5875,20354
250.575,20479
250.85,20598
250.85416666666666,20682
251.5625,20724
251.79166666666666,20814
251.8,20907
252.52916666666667,28665
252.77916666666667,29103
252.8,32252
253.05833333333334,32458
254.77083333333334,32570
255.72916666666666,32620
255.75833333333333,33054
256.02916666666664,33108
256.7125,33208
256.7291666666667,33404
257.01666666666665,33531
257.2416666666667,33595
257.7416666666667,33704
257.75,33915
258.0125,34026
258.6958333333333,34082
258.7,34151
258.97083333333336,34195
259.65416666666664,34389
259.6625,34513
259.90833333333336,34572
260.59583333333336,34640
260.6,34684
260.87083333333334,34988
261.5208333333333,35051
261.53333333333336,35356
261.78333333333336,35531
262.4625,47226
262.46666666666664,49077
263.4125,53814
263.4291666666667,54732
263.6666666666667,58409
264.375,59717
264.375,60205
264.62083333333334,60430
265.325,60667
265.32916666666665,60734
266.00416666666666,61375
266.29583333333335,61611
266.3,61738
267.2,61858
267.2083333333333,62087
267.46666666666664,62319
268.10833333333335,62543
268.1458333333333,62765
268.4,62991
269.0625,63219
269.075,63450
269.325,63679
270.0083333333333,63912
270.0125,64128
270.9375,64346
270.9583333333333,64575
271.21666666666664,64802
271.73333333333335,65025
